pulse_name,author,created,indicator_count
Inside Shadow-Earth-053: A China-Aligned Cyberespionage Campaign Against Government and Defense Sectors in Asia,AlienVault,2026-04-30T19:11:26.525000,
ClickFix Removes Your Background but Leaves the Malware,AlienVault,2026-04-30T14:41:13.982000,
Energy Sector Incident Report,AlienVault,2026-04-30T10:11:20.255000,
Silver Fox uses the new ABCDoor backdoor to target organizations in Russia and India,AlienVault,2026-04-30T09:42:51.123000,
Komari Red: The Monitoring Tool with a Built-in Reverse Shell,AlienVault,2026-04-30T00:12:38.898000,
